variable,level,exp,rmse,corr,bias,stdratio
t,250,cpu,2.4837706374268635,0.9838892851284159,-2.350587889065465,0.9407060838526328
t,250,mpsbroken,6.893914672235817,0.6356773556793999,-6.011511645114669,0.6844176041383456
t,200,conv,3.000666454335179,0.9051412836132271,-2.776812706246094,0.676414894381296
t,200,convsat,0.8235177691155534,0.9706847558890807,-0.5959621270283603,0.9914342960256305
t,200,noRO,3.3443188331998854,0.840212106974415,-3.039881915103984,0.6032282792233669
t,200,RO3ch,2.7784732633318723,0.8830559303643924,-2.5456939295349943,0.9387429845428091
t,200,RObangle,6.8208467838117945,-0.1201175316678549,-6.088830788879829,0.7267543405108801
t,200,cpu,2.995765288624621,0.9048149326066732,-2.7691823010698187,0.6723184083126099
t,200,mpsbroken,4.776853423517879,0.14857538597747486,-4.017582700555266,0.6231634229064447
t,150,conv,4.19171874387717,0.9743316633865392,-4.042932646920846,0.8971600624984929
t,150,convsat,1.1105854775093964,0.9899226016459606,-0.8877121900476509,1.013014677680531
t,150,noRO,4.46862509369339,0.9724906136873332,-4.316555402120594,0.8859406378874622
t,150,RO3ch,3.1741943354344837,0.9794304801265004,-3.0312097076905555,0.962189659374815
t,150,RObangle,4.056757320176431,0.8955047301421064,-3.362153133164805,0.6951834514702794
t,150,cpu,4.197506207786443,0.9743582119522808,-4.04768942248224,0.8939061945696588
t,150,mpsbroken,2.6793140965369524,0.9563876912361857,-2.2910137363156866,0.8940330688047335
t,100,conv,4.371320047124756,0.9690007619581019,-4.027997769008856,1.0024224533267543
t,100,convsat,0.9473563552996939,0.9918966602751579,-0.36542933355080953,1.0099250982916004
t,100,noRO,4.334051033177752,0.9711056430070706,-4.00747705580402,1.013079882696342
t,100,RO3ch,3.342301602561486,0.9689150111292496,-2.8861649355272294,0.9632802447999885
t,100,RObangle,2.3991305277541777,0.9672953114757615,0.38121871449037276,0.7294116656989662
t,100,cpu,4.393255951619745,0.9686031582337016,-4.047412962744067,1.001937812976057
t,100,mpsbroken,1.657487608097562,0.9756393015952531,-0.7044469368196223,0.955880625761901
t,50,conv,2.55838217811994,0.8010215473039174,1.6808755577123335,0.7081316884057535
t,50,convsat,1.3879662728017939,0.928146005342901,0.6551924757616311,0.83244800910866
t,50,noRO,2.5623325664511216,0.785401664230392,1.6221011263224614,0.714716931100677
t,50,RO3ch,2.4454602847183566,0.7911210032930744,1.4791811996738535,0.7905084507196669
t,50,RObangle,3.9807903581612716,0.6941924878227436,3.116859866230388,0.39950393613137275
t,50,cpu,2.593443313873933,0.7979519484443979,1.7192951345131766,0.704932432441743
t,50,mpsbroken,2.594264403793381,0.8502048973041041,1.9665579585978985,0.7775235063495182
u,1000,conv,1.176719034927195,0.8614752294191154,0.11711750031476605,0.8552178602789552
u,1000,convsat,0.9902543862939978,0.9048563969846664,0.02820425759784417,0.8493230794147213
u,1000,noRO,1.2146552471533048,0.8511389175950272,0.09608844257996493,0.866836264353458
u,1000,RO3ch,2.1592793700033095,0.3845612322325204,-0.09371502958589412,0.5373014351704436
u,1000,RObangle,2.996270319948723,-0.23388623900278852,0.0019710216673945505,0.6284074030874495
u,1000,cpu,1.17897172103013,0.8608948200397718,0.11727182050223343,0.8553324820597036
u,1000,mpsbroken,2.961802192230437,-0.28886127249340454,-0.1569365625800116,0.5649674707183504
u,925,conv,1.8192993450507624,0.881743833529125,0.25946834687395975,0.8522133102399416
u,925,convsat,1.4234014276408513,0.9321226774923518,0.11265907779467942,0.8451272428928931
u,925,noRO,1.8766468595541141,0.8731642897412251,0.27079415532428885,0.8753751721435676
u,925,RO3ch,3.291897009057191,0.5073548476078258,-0.21093867775480435,0.47653183756326756
u,925,RObangle,4.661067270120047,-0.3059302456995813,-0.23113893827796494,0.4600556729416817
u,925,cpu,1.8171913460717959,0.8819481691905849,0.25665521222191867,0.8535875249771144
u,925,mpsbroken,4.425821414358332,-0.12520244127396452,-0.5011607993388194,0.4646413921308776
u,850,conv,2.172772886783201,0.8965259408453581,0.22851309294934244,0.8629619283751786
u,850,convsat,1.5945181516830782,0.9506004368017248,0.07710463269203244,0.8463306980541666
u,850,noRO,2.3002275239011594,0.8822340378640141,0.19519259725859975,0.9022934162694309
u,850,RO3ch,4.200169843625167,0.5064125371800838,-0.22831474043315728,0.5007741070910814
u,850,RObangle,5.66669144106668,-0.1933756635976842,-0.8640489813341636,0.40938849345186745
u,850,cpu,2.168411162357275,0.8967958702772646,0.214499089337833,0.864045298027378
u,850,mpsbroken,5.095174509273784,0.10567786243180508,-0.7512590961137855,0.3968607553635158
u,700,conv,2.611337898579613,0.8951999458774285,0.4675602341419531,0.8841762773865299
u,700,convsat,1.9937853070887137,0.9413974400009588,-0.19201706288907086,0.8720386671414853
u,700,noRO,2.663267144422959,0.8909961884836344,0.4966050553280531,0.8950999519033989
u,700,RO3ch,4.749997142984443,0.5809682879613528,-0.18277329255968888,0.7069391905863783
u,700,RObangle,6.42173759830317,0.12829200259376747,-2.0498394155658763,0.4911000978362876
u,700,cpu,2.6048504245952726,0.8953775349774357,0.4422256812360333,0.884672487644512
u,700,mpsbroken,5.456746191529351,0.3478565352176985,-0.1760749743005603,0.47677868562799647
u,600,conv,2.364461472443171,0.9361252862030197,0.3999724735954847,0.9807377437136051
u,600,convsat,1.8689870092347745,0.9603626811354213,-0.30393029138526506,0.9289717170931263
u,600,noRO,2.3553603231207614,0.9374638646090335,0.5070911767206313,0.9729043702825175
u,600,RO3ch,5.533706491794355,0.5890411820252581,-0.09241984002200072,0.8242541728110517
u,600,RObangle,6.9602403649532345,0.24445935899316074,-1.8481079353094938,0.563342256450309
u,600,cpu,2.3681181178521724,0.9357747373214355,0.383624453249547,0.9808404382551048
u,600,mpsbroken,7.069136305388473,0.18995100493646164,-0.3132069637721072,0.6259762781540836
u,500,conv,2.667825096036162,0.9473665962064672,0.7764207401543061,1.0531098303455797
u,500,convsat,1.7853247386205733,0.9718527985666822,-0.05426634634452728,0.9636840452874802
u,500,noRO,2.8591694010509903,0.93778303978733,0.7823157316233043,1.0445977560984414
u,500,RO3ch,6.307835198123055,0.6217781489945856,0.11857923208667004,0.9058238141229116
u,500,RObangle,8.400851575861566,0.19391104620698157,-0.7859354781252852,0.7021954905615434
u,500,cpu,2.664279688006875,0.9472409411417047,0.7547706608363907,1.0530339359476386
u,500,mpsbroken,8.640244472236256,0.24736046651401802,0.39237256562877426,0.8483755737722075
u,400,conv,3.1844171268237567,0.9593007271277947,0.37135746465810426,1.1627451146900458
u,400,convsat,2.166414442112564,0.974242336922033,-0.5226857097699983,1.0259747144501594
u,400,noRO,3.3733745441196374,0.9528493338142212,0.418323769605206,1.1616805894022713
u,400,RO3ch,5.983402372775913,0.8003072362355562,0.4594253537530204,1.0676788567890507
u,400,RObangle,9.713272427755857,0.3028214419195236,-0.04728310615513101,0.7867900077683555
u,400,cpu,3.1643732630136534,0.9596543353976599,0.3338196057433686,1.16176244469597
u,400,mpsbroken,9.456081339159821,0.45550535947307413,1.4338543021364232,0.9707090637399026
u,300,conv,2.8189514856243827,0.9841758385010958,0.5716456846013043,1.0550854065740154
u,300,convsat,2.1875875373717193,0.989157972046084,-0.35185459198533836,0.9623443190364218
u,300,noRO,2.9378349528694567,0.9837819417939615,0.6056763485643126,1.06941593232458
u,300,RO3ch,5.4119378955719775,0.9353800903697084,1.3872544567683087,1.0112260807373687
u,300,RObangle,12.09547757368235,0.5585736076243597,1.5347451289911624,0.5702134134719008
u,300,cpu,2.8041415758952977,0.9842130905878658,0.5317259773328677,1.0543126498400732
u,300,mpsbroken,11.186985609623239,0.6976539303351276,4.148743607869941,0.7497381368689277
u,250,conv,3.0257540722933958,0.9885956939035946,0.12278301251356157,1.0621528358506107
u,250,convsat,2.19979502932606,0.9929459562595905,-0.5079805358656749,0.9884655296062129
u,250,noRO,3.098009467237288,0.9891199622574156,0.2580515204175195,1.0765785085421153
u,250,RO3ch,5.241856073420022,0.9579272387027666,0.549155505262754,0.9916872653849784
u,250,RObangle,14.695601921523316,0.613270753704303,0.43388177089202046,0.4152591955465283
